confirm(new),confirm(all),serious(now),death(all),cured(all),close(all),medical,close(new),next.day.confirm,date
77,291,100,6,25,1739,922,90,149,20Jan
149,440,102,9,28,2197,1394,458,131,21Jan
131,571,95,17,31,5897,4928,3700,259,22Jan
259,830,177,25,34,9507,8420,3610,457,23Jan
457,1287,237,41,38,15197,13967,5690,688,24Jan
688,1975,324,56,49,23431,21556,8234,769,25Jan
769,2744,461,80,51,32799,30453,9368,1771,26Jan
1771,4515,976,106,60,47833,44132,15034,1459,27Jan
1459,5974,1239,132,103,65537,59990,17704,1737,28Jan
1737,7711,1370,170,124,88693,81947,23156,1982,29Jan
1982,9692,1527,213,171,113579,102427,24886,2102,30Jan
2102,11791,1795,259,243,136987,118478,23408,2590,31Jan
2590,14380,2110,304,328,163844,137594,26857,2829,1Feb
2829,17205,2296,361,475,189583,152700,25739,3235,2Feb
3235,20438,2788,425,632,221015,171329,31432,3887,3Feb
3887,24324,3219,490,892,252154,185555,31139,3694,4Feb
3694,28018,3859,563,1153,282813,186354,30659,3143,5Feb
3143,31161,4821,636,1540,314028,186045,31215,3399,6Feb
3399,34546,6101,722,2050,345498,189660,31470,2656,7Feb
2656,37198,6188,811,2649,371905,188183,26407,3062,8Feb
3062,40171,6484,908,3281,399487,187518,27582,2478,9Feb
2478,42638,7333,1016,3996,428438,187728,28951,2015,10Feb
2015,44653,8204,1113,4740,451462,185037,23024,1820,11Feb
1820,46472,8030,1232,5488,471531,181386,20069,1995,12Feb
1995,48467,10204,1380,6723,493067,177984,21536,1503,13Feb
1503,49970,11053,1454,7465,513183,169039,20116,1121,14Feb
1121,51090,11272,1665,9419,529418,158764,16235,2048,15Feb
2048,70548,10644,1770,10844,546016,150539,16598,1886,16Feb
1886,72436,11741,1868,12552,560901,141552,14885,1749,17Feb
1749,74185,11977,2004,14376,574418,135881,13517,820,18Feb
820,75002,11864,2118,16157,589163,126363,14745,889,19Feb
889,75891,11633,2236,18266,606037,120302,16874,397,20Feb
397,76288,11477,2345,20659,618915,113564,12878,648,21Feb
648,76936,10968,2442,22888,628517,106089,9602,409,22Feb
409,77150,9915,2592,24734,635531,97481,7014,508,23Feb
508,77658,9126,2663,27323,641742,87902,6211,406,24Feb
406,78064,8752,2715,29745,647406,79108,5664,433,25Feb
433,78497,8346,2744,32495,652174,71572,4768,327,26Feb
327,78824,7952,2788,36117,656054,65225,3880,427,27Feb
